trial_id,pair_id,condition,target_word,clue_giver_id,attempt_idx,n_attempts,start,end,duration,n_points,dt,trial_threshold,trial_recurrence_rate,RR,DET,LAM,L_MAX
108_208_26_1_20250114_162904_hamster_ground,108_208,ground,hamster,208,1,1,1.3,5.8,4.5,450,0.01,0.0108,0.07,0.0282,0.4895,0.6134,0.25
108_208_27_1_20250114_162936_bacon_ground,108_208,ground,bacon,208,1,4,3.82,5.82,2.0,125,0.016,0.0048,0.07,0.04,0.6016,0.6816,0.368
108_208_27_1_20250114_162936_bacon_ground,108_208,ground,bacon,208,2,4,7.82,11.82,4.0,250,0.016,0.0048,0.07,0.0293,0.5758,0.6887,0.208
108_208_27_1_20250114_162936_bacon_ground,108_208,ground,bacon,208,3,4,17.82,22.82,5.0,313,0.016,0.0048,0.07,0.0264,0.5068,0.682,0.4
108_208_27_1_20250114_162936_bacon_ground,108_208,ground,bacon,208,4,4,23.82,27.82,4.0,250,0.016,0.0048,0.07,0.1055,0.8845,0.9265,0.784
108_208_28_1_20250114_162956_river_ground,108_208,ground,river,208,1,1,2.61,11.31,8.7,870,0.01,0.0022,0.07,0.1107,0.9207,0.9683,1.36
108_208_29_1_20250114_163011_walnut_ground,108_208,ground,walnut,208,1,1,1.62,5.57,3.95,494,0.008,0.0015,0.07,0.1011,0.8938,0.9553,1.464
108_208_30_1_20250114_163024_butter_ground,108_208,ground,butter,208,1,2,4.69,6.69,2.0,333,0.006,0.0037,0.07,0.0589,0.877,0.9299,0.594
108_208_30_1_20250114_163024_butter_ground,108_208,ground,butter,208,2,2,7.69,8.69,1.0,167,0.006,0.0037,0.07,0.0138,0.3013,0.4286,0.066
108_208_31_1_20250114_163033_leather_ground,108_208,ground,leather,208,1,1,2.03,6.03,4.0,666,0.006,0.0026,0.07,0.0339,0.7651,0.8585,0.372
108_208_42_1_20250114_163352_music_board,108_208,board,music,108,1,1,1.01,5.61,4.6,1150,0.004,0.0029,0.07,0.0071,0.5693,0.656,0.26
108_208_43_1_20250114_163408_hunger_board,108_208,board,hunger,108,1,3,1.17,5.17,4.0,500,0.008,0.0075,0.07,0.031,0.628,0.7123,0.32
108_208_43_1_20250114_163408_hunger_board,108_208,board,hunger,108,2,3,5.17,7.17,2.0,250,0.008,0.0075,0.07,0.1539,0.9462,0.9696,0.664
