trial_id,pair_id,condition,target_word,clue_giver_id,attempt_idx,n_attempts,start,end,duration,n_points,dt,emb_dim,emb_delay,emb_delay_sec,trial_threshold,trial_recurrence_rate,RR,DET,LAM,L_MAX
103_203_15_1_20250113_152557_bacon_board,103_203,board,bacon,103,1,3,1.2,6.08,4.88,147,0.0333,8,14,0.4667,1.2177,0.07,0.4587,0.895,0.9367,4.6667
103_203_15_1_20250113_152557_bacon_board,103_203,board,bacon,103,2,3,9.72,14.98,5.26,158,0.0333,8,14,0.4667,1.2177,0.07,0.0343,0.5911,0.8119,0.7333
103_203_15_1_20250113_152557_bacon_board,103_203,board,bacon,103,3,3,14.98,17.48,2.5,67,0.0333,8,14,0.4667,1.2177,0.07,0.0158,0.0,0.1127,0.0
