trial_id,pair_id,condition,target_word,clue_giver_id,attempt_idx,n_attempts,start,end,duration,n_points,dt,trial_threshold,trial_recurrence_rate,RR,DET,LAM,L_MAX
103_203_40_1_20250113_153555_beauty_ground,103_203,ground,beauty,103,1,1,3.09,10.49,7.4,222,0.0333,0.0147,0.07,0.1361,0.74,0.812,0.4667
103_203_41_1_20250113_153604_sugar_ground,103_203,ground,sugar,103,1,2,1.36,4.64,3.28,99,0.0333,0.0237,0.07,0.1623,0.4739,0.665,0.1667
103_203_41_1_20250113_153604_sugar_ground,103_203,ground,sugar,103,2,2,5.64,6.64,1.0,30,0.0333,0.0237,0.07,0.0889,0.5,0.6125,0.2
103_203_42_1_20250113_153614_sushi_ground,103_203,ground,sushi,103,1,1,1.23,6.23,5.0,150,0.0333,0.0278,0.07,0.1287,0.5262,0.6664,0.3667
103_203_43_1_20250113_153626_gravy_ground,103_203,ground,gravy,103,1,1,1.55,7.67,6.12,184,0.0333,0.0147,0.07,0.1026,0.6302,0.7753,0.5
103_203_45_1_20250113_153745_walnut_board,103_203,board,walnut,203,1,3,3.54,19.54,16.0,480,0.0333,0.0321,0.07,0.0797,0.3233,0.4868,0.2333
103_203_45_1_20250113_153745_walnut_board,103_203,board,walnut,203,2,3,19.54,39.23,19.69,590,0.0333,0.0321,0.07,0.0679,0.3905,0.5048,0.3333
103_203_45_1_20250113_153745_walnut_board,103_203,board,walnut,203,3,3,39.23,40.23,1.0,30,0.0333,0.0321,0.07,0.06,0.0,0.2222,0.0
103_203_46_1_20250113_153759_blanket_board,103_203,board,blanket,203,1,1,0.02,11.52,11.5,345,0.0333,0.0339,0.07,0.0639,0.3417,0.4634,0.2667
103_203_47_1_20250113_153811_soda_board,103_203,board,soda,203,1,1,1.26,9.26,8.0,240,0.0333,0.0426,0.07,0.0707,0.2696,0.4148,0.2
103_203_48_1_20250113_153828_hunger_board,103_203,board,hunger,203,1,1,0.91,10.6,9.69,290,0.0333,0.0302,0.07,0.1026,0.5239,0.6933,0.4333
103_203_49_1_20250113_153839_christmas_board,103_203,board,christmas,203,1,1,1.94,9.94,8.0,240,0.0333,0.0291,0.07,0.0634,0.5414,0.7307,0.2667
103_203_50_1_20250113_153852_butter_board,103_203,board,butter,203,1,1,0.85,10.85,10.0,300,0.0333,0.0397,0.07,0.0673,0.3293,0.4911,0.2333
103_203_51_1_20250113_153926_cologne_board,103_203,board,cologne,203,1,2,1.71,26.5,24.79,744,0.0333,0.0361,0.07,0.0649,0.3128,0.4237,0.3
103_203_51_1_20250113_153926_cologne_board,103_203,board,cologne,203,2,2,26.5,32.26,5.76,172,0.0333,0.0361,0.07,0.0986,0.5154,0.7053,0.2667
103_203_52_1_20250113_154037_zipper_board,103_203,board,zipper,203,1,5,0.78,12.78,12.0,180,0.0667,0.0502,0.07,0.1176,0.4173,0.5677,0.8667
103_203_52_1_20250113_154037_zipper_board,103_203,board,zipper,203,2,5,12.78,21.61,8.83,133,0.0667,0.0502,0.07,0.056,0.1191,0.1372,0.2667
103_203_52_1_20250113_154037_zipper_board,103_203,board,zipper,203,3,5,21.61,39.19,17.58,263,0.0667,0.0502,0.07,0.0604,0.1746,0.2519,0.3333
103_203_52_1_20250113_154037_zipper_board,103_203,board,zipper,203,4,5,42.19,46.73,4.54,68,0.0667,0.0502,0.07,0.0398,0.087,0.0489,0.1333
103_203_52_1_20250113_154037_zipper_board,103_203,board,zipper,203,5,5,46.73,55.36,8.63,130,0.0667,0.0502,0.07,0.0882,0.2792,0.445,0.2667
103_203_53_1_20250113_154055_river_board,103_203,board,river,203,1,1,1.39,5.39,4.0,120,0.0333,0.0497,0.07,0.0488,0.2251,0.4074,0.2
103_203_54_1_20250113_154107_music_board,103_203,board,music,203,1,1,1.23,9.23,8.0,240,0.0333,0.0422,0.07,0.0693,0.308,0.4014,0.2333
108_208_12_1_20250114_162456_flower_ground,108_208,ground,flower,108,1,2,1.62,4.02,2.4,72,0.0333,0.0318,0.07,0.044,0.1316,0.2325,0.1
108_208_12_1_20250114_162456_flower_ground,108_208,ground,flower,108,2,2,5.78,12.6,6.82,204,0.0333,0.0318,0.07,0.0582,0.495,0.6073,0.3
108_208_13_1_20250114_162512_traffic_ground,108_208,ground,traffic,108,1,1,1.17,12.61,11.44,343,0.0333,0.0519,0.07,0.0665,0.2871,0.4295,0.3
108_208_14_1_20250114_162535_zipper_ground,108_208,ground,zipper,108,1,1,0.91,20.33,19.42,582,0.0333,0.0208,0.07,0.0737,0.5101,0.626,0.5333
108_208_15_1_20250114_162542_gravy_ground,108_208,ground,gravy,108,1,1,1.01,6.01,5.0,150,0.0333,0.0547,0.07,0.0578,0.1908,0.2892,0.1333
108_208_16_1_20250114_162559_siren_ground,108_208,ground,siren,108,1,1,1.17,14.17,13.0,390,0.0333,0.0276,0.07,0.0678,0.3843,0.5149,0.3
108_208_17_1_20250114_162610_cherry_ground,108_208,ground,cherry,108,1,1,1.07,9.07,8.0,240,0.0333,0.0335,0.07,0.0599,0.2916,0.4435,0.3
108_208_18_1_20250114_162618_coffee_ground,108_208,ground,coffee,108,1,1,1.07,5.07,4.0,120,0.0333,0.0967,0.07,0.0707,0.1886,0.2908,0.1333
108_208_19_1_20250114_162700_cologne_ground,108_208,ground,cologne,108,1,3,1.71,8.47,6.76,203,0.0333,0.0292,0.07,0.0582,0.3154,0.4493,0.2667
108_208_19_1_20250114_162700_cologne_ground,108_208,ground,cologne,108,2,3,10.65,39.29,28.64,859,0.0333,0.0292,0.07,0.0727,0.3509,0.4871,0.2667
108_208_19_1_20250114_162700_cologne_ground,108_208,ground,cologne,108,3,3,39.29,40.13,0.84,25,0.0333,0.0292,0.07,0.1104,0.1159,0.3768,0.0667
108_208_20_1_20250114_162723_bitter_ground,108_208,ground,bitter,108,1,2,1.1,14.1,13.0,390,0.0333,0.0348,0.07,0.0462,0.1841,0.3044,0.2
108_208_20_1_20250114_162723_bitter_ground,108_208,ground,bitter,108,2,2,16.1,19.1,3.0,90,0.0333,0.0348,0.07,0.1333,0.4426,0.6213,0.2667
108_208_21_1_20250114_162731_sugar_ground,108_208,ground,sugar,108,1,1,0.85,5.29,4.44,133,0.0333,0.0527,0.07,0.0665,0.2311,0.4579,0.1667
108_208_23_1_20250114_162817_tiger_ground,108_208,ground,tiger,208,1,2,4.43,11.43,7.0,210,0.0333,0.0376,0.07,0.0654,0.3477,0.509,0.1667
108_208_23_1_20250114_162817_tiger_ground,108_208,ground,tiger,208,2,2,13.43,15.43,2.0,60,0.0333,0.0376,0.07,0.1322,0.2941,0.4328,0.1333
108_208_24_1_20250114_162831_exam_ground,108_208,ground,exam,208,1,2,0.75,4.75,4.0,120,0.0333,0.0586,0.07,0.0518,0.2279,0.4598,0.1333
108_208_24_1_20250114_162831_exam_ground,108_208,ground,exam,208,2,2,6.75,8.75,2.0,60,0.0333,0.0586,0.07,0.0928,0.2036,0.3144,0.1
108_208_26_1_20250114_162904_hamster_ground,108_208,ground,hamster,208,1,1,1.3,5.8,4.5,135,0.0333,0.0204,0.07,0.0281,0.0858,0.1988,0.0667
108_208_27_1_20250114_162936_bacon_ground,108_208,ground,bacon,208,1,4,3.82,5.82,2.0,60,0.0333,0.0356,0.07,0.0361,0.0615,0.2385,0.0667
108_208_27_1_20250114_162936_bacon_ground,108_208,ground,bacon,208,2,4,7.82,11.82,4.0,120,0.0333,0.0356,0.07,0.0378,0.1728,0.2629,0.1
108_208_27_1_20250114_162936_bacon_ground,108_208,ground,bacon,208,3,4,17.82,22.82,5.0,150,0.0333,0.0356,0.07,0.0998,0.3891,0.5895,0.2333
108_208_27_1_20250114_162936_bacon_ground,108_208,ground,bacon,208,4,4,23.82,27.82,4.0,120,0.0333,0.0356,0.07,0.1433,0.4893,0.672,0.2333
108_208_28_1_20250114_162956_river_ground,108_208,ground,river,208,1,1,2.61,11.31,8.7,261,0.0333,0.0056,0.07,0.1213,0.3707,0.4897,0.2
108_208_29_1_20250114_163011_walnut_ground,108_208,ground,walnut,208,1,1,1.62,5.57,3.95,119,0.0333,0.0324,0.07,0.0679,0.3538,0.5432,0.1667
108_208_30_1_20250114_163024_butter_ground,108_208,ground,butter,208,1,2,4.69,6.69,2.0,60,0.0333,0.0136,0.07,0.1133,0.3382,0.4265,0.1
108_208_30_1_20250114_163024_butter_ground,108_208,ground,butter,208,2,2,7.69,8.69,1.0,30,0.0333,0.0136,0.07,0.3622,0.6871,0.8129,0.2333
108_208_31_1_20250114_163033_leather_ground,108_208,ground,leather,208,1,1,2.03,6.03,4.0,120,0.0333,0.0388,0.07,0.1194,0.3791,0.5366,0.2
108_208_32_1_20250114_163057_chlorine_ground,108_208,ground,chlorine,208,1,1,3.7,10.7,7.0,210,0.0333,0.0337,0.07,0.0741,0.3007,0.4602,0.4333
108_208_34_1_20250114_163148_movie_board,108_208,board,movie,108,1,1,0.85,9.97,9.12,274,0.0333,0.0207,0.07,0.0584,0.4462,0.5768,0.3333
108_208_35_1_20250114_163156_pasta_board,108_208,board,pasta,108,1,1,0.91,5.91,5.0,150,0.0333,0.0352,0.07,0.057,0.3198,0.4766,0.2333
108_208_36_1_20250114_163248_balloon_board,108_208,board,balloon,108,1,1,0.82,51.6,50.78,1523,0.0333,0.0514,0.07,0.0689,0.4413,0.5599,0.7
108_208_38_1_20250114_163310_birthday_board,108_208,board,birthday,108,1,1,0.66,9.66,9.0,270,0.0333,0.0601,0.07,0.0589,0.3735,0.4767,0.4333
